epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,653.799,1.13856,0.89557,1.20192,0.67542,0.51982,0.60302,0.31501,1.62192,1.44108,1.61249,0.000854,0.000854,0.000854
98,660.457,1.13474,0.9049,1.19888,0.66132,0.60176,0.60763,0.32019,1.57858,1.42089,1.60382,0.000849875,0.000849875,0.000849875
99,667.153,1.13134,0.89028,1.18926,0.61352,0.63937,0.60349,0.31927,1.64553,1.377,1.65257,0.00084575,0.00084575,0.00084575
100,673.743,1.11386,0.89329,1.18565,0.68159,0.55214,0.59949,0.30272,1.66636,1.45955,1.65263,0.000841625,0.000841625,0.000841625
101,680.268,1.10023,0.8572,1.19355,0.72654,0.53824,0.61392,0.31975,1.64263,1.48589,1.67448,0.0008375,0.0008375,0.0008375
102,686.723,1.11766,0.82712,1.20652,0.65801,0.57547,0.58434,0.30174,1.67706,1.50076,1.71946,0.000833375,0.000833375,0.000833375
103,693.3,1.17235,0.85699,1.20057,0.70788,0.57465,0.63334,0.32932,1.65893,1.44903,1.63554,0.00082925,0.00082925,0.00082925
104,699.819,1.10927,0.86487,1.20336,0.64775,0.62729,0.63922,0.32633,1.66932,1.39477,1.67327,0.000825125,0.000825125,0.000825125
105,706.366,1.09188,0.87234,1.19888,0.70012,0.52653,0.6065,0.31087,1.6545,1.43052,1.66005,0.000821,0.000821,0.000821
106,713.06,1.06783,0.81867,1.18032,0.73032,0.5787,0.64908,0.32112,1.70102,1.42566,1.70066,0.000816875,0.000816875,0.000816875
107,719.564,1.09178,0.82366,1.18066,0.70884,0.56369,0.62526,0.31541,1.71141,1.46016,1.69735,0.00081275,0.00081275,0.00081275
108,726.359,1.06077,0.77541,1.17868,0.57097,0.61684,0.61324,0.30924,1.70442,1.54556,1.69455,0.000808625,0.000808625,0.000808625
